Vertex 1,Vertex 2,Bond Strength
Alexander,Burr,0.828
Alexander,Byrd,0.541
Alexander,Cantwell,0.492
Alexander,Cardin,0.479
Alexander,Carper,0.512
Alexander,Casey,0.455
Alexander,Chambliss,0.825
Alexander,Clinton,0.448
Alexander,Coburn,0.769
Alexander,Cochran,0.855
Alexander,Coleman,0.748
Alexander,Collins,0.723
Alexander,Conrad,0.521
Alexander,Corker,0.855
Alexander,Cornyn,0.851
Alexander,Craig,0.818
Alexander,Crapo,0.848
Alexander,DeMint,0.786
Alexander,Dodd,0.443
Alexander,Dole,0.849
Alexander,Domenici,0.808
Alexander,Durbin,0.446
Alexander,Ensign,0.826
Alexander,Enzi,0.858
Alexander,Feingold,0.426
Alexander,Feinstein,0.483
Alexander,Graham,0.785
Alexander,Grassley,0.798
Alexander,Gregg,0.811
Alexander,Hagel,0.701
Alexander,Harkin,0.475
Alexander,Hatch,0.841
Alexander,Hutchison,0.829
Alexander,Inhofe,0.807
Alexander,Inouye,0.424
Alexander,Isakson,0.847
Alexander,Kennedy,0.5
Alexander,Kerry,0.489
Alexander,Klobuchar,0.488
Alexander,Kohl,0.455
Alexander,Kyl,0.794
Alexander,Landrieu,0.554
Alexander,Lautenberg,0.473
Alexander,Leahy,0.479
Alexander,Levin,0.459
Alexander,Lieberman,0.525
Alexander,Lincoln,0.527
Alexander,Lott,0.8
Alexander,Lugar,0.785
Alexander,Martinez,0.793
Alexander,McCain,0.842
Alexander,McCaskill,0.541
Alexander,McConnell,0.88
Alexander,Menendez,0.471
Alexander,Mikulski,0.483
Alexander,Murkowski,0.833
Alexander,Murray,0.488
Alexander,Nelson (FL),0.473
Alexander,Nelson (NE),0.599
Alexander,Obama,0.456
Alexander,Pryor,0.599
Alexander,Reed,0.479
Alexander,Reid,0.492
Alexander,Roberts,0.843
Alexander,Rockefeller,0.513
Alexander,Salazar,0.525
Alexander,Sanders,0.475
Alexander,Schumer,0.464
Alexander,Sessions,0.823
Alexander,Shelby,0.826
Alexander,Smith,0.686
Alexander,Snowe,0.698
Alexander,Specter,0.694
Alexander,Stabenow,0.479
Alexander,Stevens,0.835
Alexander,Sununu,0.831
Alexander,Tester,0.537
Alexander,Thune,0.814
Alexander,Vitter,0.764
Alexander,Voinovich,0.726
Alexander,Warner,0.835
Alexander,Webb,0.517
Alexander,Whitehouse,0.467
Alexander,Wyden,0.479
Allard,Baucus,0.447
Allard,Bayh,0.409
Allard,Bennett,0.844
Allard,Biden,0.305
Allard,Bingaman,0.363
Allard,Bond,0.823
Allard,Boxer,0.349
Allard,Brown,0.342
Allard,Brownback,0.857
Allard,Bunning,0.869
Allard,Burr,0.886
Allard,Byrd,0.43
Allard,Cantwell,0.384
Allard,Cardin,0.35
Allard,Carper,0.384
Allard,Casey,0.354
Allard,Chambliss,0.886
Allard,Clinton,0.35
Allard,Coburn,0.835
Allard,Cochran,0.852
Allard,Coleman,0.717
Allard,Collins,0.641
Allard,Conrad,0.392
Allard,Corker,0.861
Allard,Cornyn,0.937
Allard,Craig,0.852
Allard,Crapo,0.861
Allard,DeMint,0.899
Allard,Dodd,0.333
Allard,Dole,0.871
Allard,Domenici,0.789
Allard,Dorgan,0.435
Allard,Durbin,0.35
Allard,Ensign,0.881
Allard,Enzi,0.889
Allard,Feingold,0.346
Allard,Feinstein,0.371
Allard,Graham,0.835
Allard,Grassley,0.844
Allard,Gregg,0.806
Allard,Hagel,0.736
Allard,Harkin,0.354
Allard,Hatch,0.861
Allard,Hutchison,0.852
Allard,Inhofe,0.901
Allard,Inouye,0.318
Allard,Isakson,0.895
Allard,Kennedy,0.371
Allard,Kerry,0.373
Allard,Klobuchar,0.367
Allard,Kohl,0.359
Allard,Kyl,0.831
Allard,Landrieu,0.485
Allard,Lautenberg,0.342
Allard,Leahy,0.342
Allard,Levin,0.354
Allard,Lincoln,0.392
Allard,Lott,0.852
Allard,Lugar,0.713
Allard,Martinez,0.831
Allard,McCain,0.842
Allard,McCaskill,0.473
Allard,McConnell,0.903
Allard,Menendez,0.346
Allard,Mikulski,0.359
Allard,Murkowski,0.759
Allard,Murray,0.363
Allard,Nelson (FL),0.388
Allard,Nelson (NE),0.506
Allard,Obama,0.332
Allard,Pryor,0.473
Allard,Reed,0.342
Allard,Reid,0.38
Allard,Roberts,0.86
Allard,Rockefeller,0.388
Allard,Salazar,0.401
Allard,Sanders,0.354
Allard,Schumer,0.34
Allard,Sessions,0.831
Allard,Shelby,0.848
Allard,Smith,0.658
Allard,Snowe,0.586
Allard,Specter,0.65
Allard,Stabenow,0.376
Allard,Stevens,0.762
Allard,Sununu,0.827
Allard,Tester,0.439
Allard,Thune,0.865
Allard,Vitter,0.836
Allard,Voinovich,0.696
Allard,Warner,0.793
Allard,Webb,0.418
Allard,Whitehouse,0.338
Allard,Wyden,0.359
Baucus,Bayh,0.866
Baucus,Bennett,0.545
Baucus,Biden,0.831
Baucus,Bingaman,0.865
Baucus,Bond,0.552
Baucus,Boxer,0.845
Baucus,Brown,0.861
Baucus,Brownback,0.491
Baucus,Bunning,0.49
Baucus,Burr,0.456
Baucus,Byrd,0.885
Baucus,Cantwell,0.835
Baucus,Cardin,0.856
Baucus,Carper,0.839
Baucus,Casey,0.853
Baucus,Chambliss,0.483
Baucus,Clinton,0.849
Baucus,Coburn,0.415
Baucus,Cochran,0.548
Baucus,Coleman,0.682
Baucus,Collins,0.694
Baucus,Conrad,0.897
Baucus,Corker,0.56
Baucus,Cornyn,0.457
Baucus,Craig,0.494
Baucus,Crapo,0.539
Baucus,DeMint,0.416
Baucus,Dodd,0.847
Baucus,Dole,0.5
Baucus,Domenici,0.548
Baucus,Dorgan,0.926
Baucus,Durbin,0.847
Baucus,Ensign,0.447
Baucus,Enzi,0.478
Baucus,Feingold,0.8
Baucus,Feinstein,0.819
Baucus,Graham,0.43
Baucus,Grassley,0.555
Baucus,Gregg,0.454
Baucus,Hagel,0.545
Baucus,Harkin,0.847
Baucus,Hatch,0.531
Baucus,Hutchison,0.513
Baucus,Inhofe,0.438
Baucus,Inouye,0.843
Baucus,Isakson,0.506
Baucus,Kennedy,0.792
Baucus,Kerry,0.824
Baucus,Klobuchar,0.869
Baucus,Kohl,0.869
Baucus,Kyl,0.416
Baucus,Landrieu,0.872
Baucus,Lautenberg,0.846
Baucus,Leahy,0.852
Baucus,Levin,0.847
Baucus,Lieberman,0.777
Baucus,Lincoln,0.892
Baucus,Lott,0.496
Baucus,Lugar,0.567
Baucus,Martinez,0.448
Baucus,McCain,0.442
Baucus,McCaskill,0.841
Baucus,McConnell,0.514
Baucus,Menendez,0.832
Baucus,Mikulski,0.852
Baucus,Murkowski,0.604
Baucus,Murray,0.852
Baucus,Nelson (FL),0.855
Baucus,Nelson (NE),0.865
Baucus,Obama,0.825
Baucus,Pryor,0.898
Baucus,Reed,0.856
Baucus,Reid,0.849
Baucus,Roberts,0.536
Baucus,Rockefeller,0.922
Baucus,Salazar,0.865
Baucus,Sanders,0.868
Baucus,Schumer,0.847
Baucus,Sessions,0.519
Baucus,Shelby,0.545
Baucus,Smith,0.675
Baucus,Snowe,0.727
Baucus,Stabenow,0.877
Baucus,Stevens,0.602
Baucus,Sununu,0.541
Baucus,Tester,0.959
Baucus,Thune,0.568
Baucus,Vitter,0.507
Baucus,Voinovich,0.586
Baucus,Warner,0.545
Baucus,Webb,0.857
Baucus,Whitehouse,0.848
Baucus,Wyden,0.865
Bayh,Bennett,0.487
Bayh,Biden,0.819
Bayh,Bingaman,0.849
Bayh,Bond,0.474
Bayh,Boxer,0.81
Bayh,Brown,0.828
Bayh,Brownback,0.441
Bayh,Bunning,0.454
Bayh,Burr,0.429
Bayh,Cantwell,0.819
Bayh,Cardin,0.828
Bayh,Carper,0.803
Bayh,Casey,0.857
Bayh,Chambliss,0.471
Bayh,Clinton,0.832
Bayh,Coburn,0.392
Bayh,Cochran,0.496
Bayh,Coleman,0.63
Bayh,Collins,0.668
Bayh,Conrad,0.824
Bayh,Corker,0.496
Bayh,Cornyn,0.429
Bayh,Craig,0.492
Bayh,Crapo,0.474
Bayh,Dodd,0.798
Bayh,Dole,0.466
Bayh,Domenici,0.529
Bayh,Dorgan,0.819
Bayh,Durbin,0.84
Bayh,Ensign,0.413
Bayh,Enzi,0.434
Bayh,Feingold,0.836
Bayh,Feinstein,0.807
Bayh,Graham,0.451
Bayh,Grassley,0.521
Bayh,Gregg,0.42
Bayh,Hagel,0.563
Bayh,Harkin,0.857
Bayh,Hatch,0.492
Bayh,Hutchison,0.471
Bayh,Inhofe,0.408
Bayh,Inouye,0.834
Bayh,Isakson,0.492
Bayh,Kennedy,0.777
Bayh,Kerry,0.811
Bayh,Klobuchar,0.857
Bayh,Kohl,0.882
Bayh,Kyl,0.424
Bayh,Landrieu,0.815
Bayh,Lautenberg,0.84
Bayh,Leahy,0.832
Bayh,Levin,0.836
Bayh,Lieberman,0.79
Bayh,Lincoln,0.832
Bayh,Lott,0.454
Bayh,Lugar,0.555
Bayh,Martinez,0.471
Bayh,McCain,0.492
Bayh,McCaskill,0.815
Bayh,McConnell,0.483
Bayh,Menendez,0.832
Bayh,Mikulski,0.836
Bayh,Murkowski,0.538
Bayh,Murray,0.84
Bayh,Nelson (FL),0.824
Bayh,Nelson (NE),0.803
Bayh,Obama,0.825
Bayh,Pryor,0.803
Bayh,Reed,0.853
Bayh,Reid,0.828
Bayh,Roberts,0.481
Bayh,Rockefeller,0.815
Bayh,Salazar,0.84
Bayh,Sanders,0.811
Bayh,Schumer,0.804
Bayh,Sessions,0.46
Bayh,Shelby,0.487
Bayh,Smith,0.643
Bayh,Sununu,0.504
Bayh,Tester,0.84
Bayh,Thune,0.517
Bayh,Vitter,0.444
Bayh,Voinovich,0.553
Bayh,Warner,0.513
Bayh,Webb,0.786
Bayh,Whitehouse,0.849
Bayh,Wyden,0.849
Bennett,Biden,0.458
Bennett,Bingaman,0.492
Bennett,Bond,0.897
Bennett,Boxer,0.474
Bennett,Brown,0.458
Bennett,Brownback,0.876
Bennett,Bunning,0.81
Bennett,Burr,0.824
Bennett,Byrd,0.525
Bennett,Cantwell,0.496
Bennett,Cardin,0.479
Bennett,Carper,0.521
Bennett,Chambliss,0.825
Bennett,Clinton,0.464
Bennett,Coburn,0.693
Bennett,Cochran,0.905
Bennett,Coleman,0.793
Bennett,Collins,0.719
Bennett,Conrad,0.517
Bennett,Corker,0.806
Bennett,Cornyn,0.847
Bennett,Craig,0.868
Bennett,Crapo,0.87
Bennett,DeMint,0.777
Bennett,Dodd,0.486
Bennett,Dole,0.793
Bennett,Domenici,0.883
Bennett,Dorgan,0.508
Bennett,Durbin,0.463
Bennett,Ensign,0.809
Bennett,Enzi,0.85
Bennett,Feingold,0.426
Bennett,Feinstein,0.504
Bennett,Graham,0.806
Bennett,Grassley,0.781
Bennett,Gregg,0.79
Bennett,Hagel,0.762
Bennett,Harkin,0.467
Bennett,Hatch,0.883
Bennett,Hutchison,0.825
Bennett,Inhofe,0.781
Bennett,Inouye,0.456
Bennett,Isakson,0.843
Bennett,Kennedy,0.521
Bennett,Kerry,0.485
Bennett,Klobuchar,0.512
Bennett,Kohl,0.479
Bennett,Kyl,0.807
Bennett,Landrieu,0.521
Bennett,Lautenberg,0.477
Bennett,Leahy,0.479
Bennett,Levin,0.475
Bennett,Lieberman,0.533
Bennett,Lincoln,0.535
Bennett,Lugar,0.81
Bennett,Martinez,0.817
Bennett,McCain,0.825
Bennett,McCaskill,0.492
Bennett,McConnell,0.888
Bennett,Menendez,0.479
Bennett,Mikulski,0.483
Bennett,Murkowski,0.892
Bennett,Murray,0.496
Bennett,Nelson (FL),0.481
Bennett,Nelson (NE),0.603
Bennett,Obama,0.433
Bennett,Pryor,0.566
Bennett,Reed,0.488
Bennett,Reid,0.508
Bennett,Roberts,0.86
Bennett,Rockefeller,0.491
Bennett,Salazar,0.558
Bennett,Sanders,0.463
Bennett,Schumer,0.477
Bennett,Sessions,0.793
Bennett,Shelby,0.826
Bennett,Smith,0.715
Bennett,Snowe,0.678
Bennett,Specter,0.756
Bennett,Stabenow,0.471
Bennett,Stevens,0.866
Bennett,Tester,0.504
Bennett,Thune,0.798
Bennett,Vitter,0.76
Bennett,Voinovich,0.743
Bennett,Warner,0.868
Bennett,Webb,0.5
Bennett,Whitehouse,0.483
Bennett,Wyden,0.488
Biden,Bingaman,0.932
Biden,Bond,0.39
Biden,Boxer,0.881
Biden,Brown,0.91
Biden,Brownback,0.342
Biden,Bunning,0.333
Biden,Burr,0.311
Biden,Byrd,0.847
Biden,Cantwell,0.91
Biden,Cardin,0.927
Biden,Carper,0.904
Biden,Casey,0.944
Biden,Chambliss,0.322
Biden,Clinton,0.921
Biden,Coburn,0.232
Biden,Cochran,0.418
Biden,Coleman,0.576
Biden,Collins,0.655
Biden,Conrad,0.87
Biden,Corker,0.407
Biden,Cornyn,0.322
Biden,Craig,0.395
Biden,Crapo,0.35
Biden,DeMint,0.266
Biden,Dodd,0.768
Biden,Dole,0.333
Biden,Domenici,0.469
Biden,Dorgan,0.831
Biden,Durbin,0.938
Biden,Ensign,0.316
Biden,Enzi,0.311
Biden,Feingold,0.915
Biden,Feinstein,0.927
Biden,Graham,0.407
Biden,Grassley,0.446
Biden,Gregg,0.356
Biden,Hagel,0.503
Biden,Harkin,0.949
Biden,Hatch,0.373
Biden,Hutchison,0.367
Biden,Inhofe,0.288
Biden,Inouye,0.836
Biden,Isakson,0.35
Biden,Kennedy,0.915
Biden,Kerry,0.887
Biden,Klobuchar,0.955
Biden,Kohl,0.949
Biden,Kyl,0.362
Biden,Landrieu,0.774
Biden,Lautenberg,0.966
Biden,Leahy,0.949
Biden,Levin,0.915
Biden,Lieberman,0.847
Biden,Lincoln,0.859
Biden,Lott,0.384
Biden,Lugar,0.542
Biden,Martinez,0.407
Biden,McCaskill,0.797
Biden,McConnell,0.373
Biden,Mikulski,0.927
Biden,Murkowski,0.492
Biden,Murray,0.949
Biden,Nelson (FL),0.887
Biden,Nelson (NE),0.763
Biden,Obama,0.893
Biden,Pryor,0.797
Biden,Reed,0.994
Biden,Reid,0.938
Biden,Roberts,0.362
Biden,Rockefeller,0.825
Biden,Salazar,0.904
Biden,Sanders,0.938
Biden,Schumer,0.91
Biden,Sessions,0.379
Biden,Shelby,0.412
Biden,Smith,0.554
Biden,Snowe,0.695
Biden,Specter,0.638
Biden,Stabenow,0.887
Biden,Stevens,0.469
Biden,Sununu,0.39
Biden,Tester,0.819
Biden,Thune,0.407
Biden,Vitter,0.333
Biden,Voinovich,0.497
Biden,Warner,0.463
Biden,Webb,0.864
Biden,Whitehouse,0.989
Biden,Wyden,0.949
Bingaman,Bond,0.478
Bingaman,Boxer,0.914
Bingaman,Brown,0.937
Bingaman,Brownback,0.466
Bingaman,Bunning,0.395
Bingaman,Burr,0.41
Bingaman,Byrd,0.852
Bingaman,Cantwell,0.909
Bingaman,Cardin,0.922
Bingaman,Carper,0.897
Bingaman,Casey,0.93
Bingaman,Clinton,0.925
Bingaman,Coburn,0.321
Bingaman,Cochran,0.485
Bingaman,Coleman,0.616
Bingaman,Collins,0.689
Bingaman,Conrad,0.905
Bingaman,Corker,0.477
Bingaman,Cornyn,0.387
Bingaman,Craig,0.461
Bingaman,Crapo,0.439
Bingaman,DeMint,0.332
Bingaman,Dodd,0.923
Bingaman,Dole,0.409
Bingaman,Domenici,0.548
Bingaman,Dorgan,0.876
Bingaman,Durbin,0.926
Bingaman,Ensign,0.387
Bingaman,Enzi,0.381
Bingaman,Feingold,0.893
Bingaman,Feinstein,0.893
Bingaman,Graham,0.426
Bingaman,Grassley,0.492
Bingaman,Gregg,0.416
Bingaman,Hagel,0.537
Bingaman,Harkin,0.921
Bingaman,Hatch,0.452
Bingaman,Hutchison,0.442
Bingaman,Inhofe,0.356
Bingaman,Inouye,0.917
Bingaman,Isakson,0.428
Bingaman,Kennedy,0.867
Bingaman,Kerry,0.893
Bingaman,Klobuchar,0.922
Bingaman,Kohl,0.939
Bingaman,Kyl,0.412
Bingaman,Landrieu,0.855
Bingaman,Lautenberg,0.921
Bingaman,Leahy,0.901
Bingaman,Levin,0.926
Bingaman,Lieberman,0.868
Bingaman,Lincoln,0.884
Bingaman,Lott,0.433
Bingaman,Lugar,0.582
Bingaman,Martinez,0.44
Bingaman,McCain,0.45
Bingaman,McCaskill,0.844
Bingaman,McConnell,0.43
Bingaman,Menendez,0.922
Bingaman,Mikulski,0.91
Bingaman,Murkowski,0.567
Bingaman,Murray,0.926
Bingaman,Nelson (FL),0.909
Bingaman,Nelson (NE),0.787
Bingaman,Obama,0.922
Bingaman,Pryor,0.844
Bingaman,Reed,0.934
Bingaman,Reid,0.918
Bingaman,Roberts,0.447
Bingaman,Rockefeller,0.909
Bingaman,Salazar,0.893
Bingaman,Sanders,0.922
Bingaman,Schumer,0.919
Bingaman,Sessions,0.426
Bingaman,Shelby,0.463
Bingaman,Smith,0.626
Bingaman,Snowe,0.713
Bingaman,Specter,0.636
Bingaman,Stabenow,0.909
Bingaman,Stevens,0.545
Bingaman,Sununu,0.471
Bingaman,Tester,0.856
Bingaman,Thune,0.477
Bingaman,Vitter,0.409
Bingaman,Voinovich,0.582
Bingaman,Warner,0.533
Bingaman,Webb,0.893
Bingaman,Whitehouse,0.93
Bingaman,Wyden,0.93
Bond,Boxer,0.435
Bond,Brown,0.444
Bond,Brownback,0.783
Bond,Bunning,0.836
Bond,Burr,0.81
Bond,Byrd,0.539
Bond,Cantwell,0.478
Bond,Cardin,0.466
Bond,Carper,0.504
Bond,Casey,0.457
Bond,Chambliss,0.819
Bond,Clinton,0.444
Bond,Coburn,0.712
Bond,Cochran,0.897
Bond,Coleman,0.793
Bond,Collins,0.677
Bond,Conrad,0.509
Bond,Corker,0.806
Bond,Cornyn,0.841
Bond,Craig,0.828
Bond,Crapo,0.817
Bond,DeMint,0.78
Bond,Dodd,0.443
Bond,Dole,0.784
Bond,Domenici,0.832
Bond,Dorgan,0.522
Bond,Durbin,0.44
Bond,Ensign,0.789
Bond,Enzi,0.823
Bond,Feingold,0.392
Bond,Feinstein,0.487
Bond,Graham,0.763
Bond,Grassley,0.78
Bond,Gregg,0.737
Bond,Hagel,0.723
Bond,Harkin,0.461
Bond,Hatch,0.841
Bond,Hutchison,0.793
Bond,Inhofe,0.763
Bond,Inouye,0.424
Bond,Isakson,0.836
Bond,Kennedy,0.483
Bond,Kerry,0.453
Bond,Klobuchar,0.483
Bond,Kohl,0.457
Bond,Kyl,0.759
Bond,Landrieu,0.556
Bond,Lautenberg,0.444
Bond,Leahy,0.444
Bond,Levin,0.466
Bond,Lieberman,0.526
Bond,Lincoln,0.509
Bond,Lott,0.841
Bond,Lugar,0.763
Bond,Martinez,0.776
Bond,McCain,0.733
Bond,McCaskill,0.517
Bond,McConnell,0.888
Bond,Menendez,0.453
Bond,Mikulski,0.47
Bond,Murray,0.474
Bond,Nelson (FL),0.466
Bond,Nelson (NE),0.621
Bond,Obama,0.396
Bond,Pryor,0.599
Bond,Reed,0.457
Bond,Reid,0.491
Bond,Roberts,0.832
Bond,Rockefeller,0.478
Bond,Salazar,0.539
Bond,Sanders,0.44
Bond,Schumer,0.44
Bond,Sessions,0.767
Bond,Shelby,0.828
Bond,Smith,0.72
Bond,Snowe,0.659
Bond,Specter,0.724
Bond,Stabenow,0.478
Bond,Stevens,0.844
Bond,Sununu,0.767
Bond,Tester,0.517
Bond,Thune,0.802
Bond,Vitter,0.747
Bond,Voinovich,0.733
Bond,Warner,0.819
Bond,Webb,0.496
Bond,Whitehouse,0.457
Bond,Wyden,0.47
Boxer,Brown,0.918
Boxer,Brownback,0.404
Boxer,Bunning,0.379
Boxer,Burr,0.392
Boxer,Byrd,0.853
Boxer,Cantwell,0.918
Boxer,Cardin,0.944
Boxer,Carper,0.871
Boxer,Casey,0.931
Boxer,Chambliss,0.401
Boxer,Clinton,0.931
Boxer,Coburn,0.297
Boxer,Cochran,0.466
Boxer,Coleman,0.582
Boxer,Collins,0.659
Boxer,Conrad,0.888
Boxer,Corker,0.444
Boxer,Cornyn,0.384
Boxer,Craig,0.435
Boxer,Crapo,0.374
Boxer,DeMint,0.31
Boxer,Dodd,0.88
Boxer,Dole,0.384
Boxer,Domenici,0.517
Boxer,Dorgan,0.853
Boxer,Durbin,0.948
Boxer,Ensign,0.353
Boxer,Enzi,0.332
Boxer,Feingold,0.888
Boxer,Feinstein,0.931
Boxer,Graham,0.414
Boxer,Grassley,0.435
Boxer,Gregg,0.384
Boxer,Hagel,0.489
Boxer,Harkin,0.927
Boxer,Hatch,0.409
Boxer,Hutchison,0.457
Boxer,Inhofe,0.336
Boxer,Inouye,0.889
Boxer,Isakson,0.427
Boxer,Kerry,0.879
Boxer,Klobuchar,0.914
Boxer,Kohl,0.922
Boxer,Kyl,0.414
Boxer,Landrieu,0.832
Boxer,Lautenberg,0.944
Boxer,Leahy,0.927
Boxer,Levin,0.944
Boxer,Lieberman,0.849
Boxer,Lincoln,0.836
Boxer,Lott,0.435
Boxer,Lugar,0.539
Boxer,Martinez,0.448
Boxer,McCain,0.425
Boxer,McCaskill,0.841
Boxer,McConnell,0.414
Boxer,Menendez,0.948
Boxer,Mikulski,0.94
Boxer,Murkowski,0.513
Boxer,Murray,0.935
Boxer,Nelson (FL),0.901
Boxer,Nelson (NE),0.741
Boxer,Obama,0.885
Boxer,Pryor,0.832
Boxer,Reed,0.94
Boxer,Reid,0.94
Boxer,Roberts,0.401
Boxer,Rockefeller,0.832
Boxer,Salazar,0.875
Boxer,Sanders,0.927
Boxer,Schumer,0.935
Boxer,Sessions,0.392
Boxer,Shelby,0.461
Boxer,Smith,0.616
Boxer,Snowe,0.707
Boxer,Specter,0.647
Boxer,Stabenow,0.927
Boxer,Stevens,0.506
Boxer,Sununu,0.427
Boxer,Tester,0.832
Boxer,Thune,0.44
Boxer,Vitter,0.387
Boxer,Voinovich,0.547
Boxer,Warner,0.513
Boxer,Whitehouse,0.944
Boxer,Wyden,0.918
Brown,Brownback,0.416
Brown,Bunning,0.387
Brown,Burr,0.391
Brown,Byrd,0.866
Brown,Cantwell,0.916
Brown,Cardin,0.941
Brown,Carper,0.895
Brown,Casey,0.962
Brown,Chambliss,0.399
Brown,Clinton,0.937
Brown,Coburn,0.325
Brown,Cochran,0.45
Brown,Coleman,0.592
Brown,Collins,0.668
Brown,Conrad,0.912
Brown,Corker,0.454
Brown,Cornyn,0.37
Brown,Craig,0.445
Brown,Crapo,0.4
Brown,DeMint,0.328
Brown,Dodd,0.896
Brown,Dole,0.409
Brown,Domenici,0.517
Brown,Dorgan,0.87
Brown,Durbin,0.962
Brown,Ensign,0.366
Brown,Enzi,0.345
Brown,Feingold,0.903
Brown,Feinstein,0.92
Brown,Graham,0.418
Brown,Grassley,0.466
Brown,Gregg,0.395
Brown,Hagel,0.502
Brown,Harkin,0.933
Brown,Hatch,0.42
Brown,Hutchison,0.433
Brown,Inhofe,0.326
Brown,Inouye,0.908
Brown,Isakson,0.416
Brown,Kennedy,0.887
Brown,Kerry,0.897
Brown,Klobuchar,0.929
Brown,Kohl,0.933
Brown,Kyl,0.387
Brown,Landrieu,0.84
Brown,Lautenberg,0.941
Brown,Leahy,0.916
Brown,Levin,0.937
Brown,Lieberman,0.87
Brown,Lincoln,0.87
Brown,Lott,0.403
Brown,Lugar,0.555
Brown,Martinez,0.441
Brown,McCain,0.475
Brown,McCaskill,0.857
Brown,McConnell,0.416
Brown,Menendez,0.941
Brown,Mikulski,0.933
Brown,Murkowski,0.525
Brown,Murray,0.95
Brown,Nelson (FL),0.916
Brown,Nelson (NE),0.807
Brown,Obama,0.922
Brown,Pryor,0.845
Brown,Reed,0.941
Brown,Reid,0.924
Brown,Roberts,0.396
Brown,Rockefeller,0.884
Brown,Salazar,0.903
Brown,Sanders,0.908
Brown,Schumer,0.923
Brown,Sessions,0.418
Brown,Shelby,0.445
Brown,Smith,0.63
Brown,Snowe,0.697
Brown,Specter,0.639
Brown,Stabenow,0.92
Brown,Stevens,0.511
Brown,Sununu,0.437
Brown,Tester,0.845
Brown,Thune,0.458
Brown,Vitter,0.4
Brown,Warner,0.504
Brown,Webb,0.92
Brown,Whitehouse,0.95
Brown,Wyden,0.929
Brownback,Bunning,0.832
Brownback,Burr,0.87
Brownback,Byrd,0.497
Brownback,Cantwell,0.435
Brownback,Cardin,0.429
Brownback,Carper,0.516
Brownback,Casey,0.435
Brownback,Chambliss,0.876
Brownback,Clinton,0.41
Brownback,Coburn,0.727
Brownback,Cochran,0.832
Brownback,Coleman,0.814
Brownback,Collins,0.758
Brownback,Conrad,0.453
Brownback,Corker,0.857
Brownback,Cornyn,0.882
Brownback,Craig,0.901
Brownback,Crapo,0.87
Brownback,DeMint,0.845
Brownback,Dodd,0.298
Brownback,Dole,0.82
Brownback,Domenici,0.832
Brownback,Dorgan,0.472
